	positive	neutral	negative	total	positive_list	neutral_list	negative_list
0767736680	102	7	6	115	[4005, 3055, 6060, 56, 9072, 6091, 4102, 8116, 8138, 4156, 5168, 5175, 6191, 2189, 2199, 4199, 9208, 6240, 214, 218, 219, 4237, 9249, 240, 1254, 9274, 1271, 261, 2280, 5298, 3286, 7283, 3322, 9340, 4337, 1343, 347, 6382, 360, 1384, 5395, 7389, 5417, 401, 5432, 6454, 8453, 3440, 1462, 6504, 8491, 4503, 6528, 7492, 517, 5550, 6572, 7523, 2563, 5578, 6592, 4612, 9616, 5618, 9630, 607, 4692, 6723, 5723, 3701, 6763, 2755, 9789, 742, 6815, 6832, 1778, 9831, 4826, 3803, 1801, 2822, 6873, 4861, 818, 9869, 1836, 6898, 7849, 4914, 4920, 1887, 875, 5931, 6979, 1934, 8935, 1946, 8956, 8990, 1990, 7996]	[9105, 1237, 8236, 7249, 421, 6502, 9775]	[8015, 9075, 2088, 5173, 6377, 3485]
0307514161	109	12	6	127	[9013, 7017, 8033, 35, 5046, 7046, 8059, 3063, 3066, 1083, 8088, 92, 9099, 4104, 9127, 7131, 8148, 1151, 5164, 159, 9167, 5182, 8184, 6218, 9200, 3195, 2214, 7201, 8219, 3224, 8237, 8242, 241, 5260, 4258, 1262, 7253, 9279, 272, 2290, 9292, 8298, 6329, 7331, 8362, 4366, 4373, 3366, 7370, 9407, 2405, 2408, 6430, 2417, 2422, 9436, 9449, 4455, 3448, 9468, 6497, 4508, 3490, 9536, 5544, 4546, 5561, 5570, 6599, 9611, 6646, 4644, 2634, 6659, 8628, 3636, 9667, 4678, 8660, 7646, 669, 8678, 7678, 690, 8697, 697, 2728, 3719, 6792, 6799, 5786, 7742, 4802, 6827, 2803, 9830, 3878, 3884, 3890, 1890, 3919, 7897, 912, 6989, 6990, 1965, 3973, 7951, 7973]	[2005, 48, 9100, 2243, 1408, 1441, 9505, 6650, 5654, 1646, 7685, 7717]	[1259, 9508, 7513, 4558, 8704, 7705]
0783223358	3	3	46	52	[4458, 8666, 6745]	[6310, 3340, 6901]	[1005, 5025, 1061, 7071, 7081, 1099, 137, 165, 3182, 7178, 5206, 5215, 4223, 3226, 325, 5369, 1365, 6385, 3378, 1416, 3411, 429, 6474, 4474, 8530, 3524, 3572, 6652, 8626, 5650, 2651, 9691, 6705, 9729, 3750, 8747, 6800, 3849, 6913, 1881, 1882, 1885, 3896, 1915, 5968, 3943]
0780631153	4	12	47	63	[4160, 277, 5357, 2655]	[51, 9077, 5200, 1203, 7344, 7446, 3460, 4703, 3720, 3859, 2882, 940]	[3007, 5038, 7050, 5071, 5080, 1089, 105, 8159, 9155, 6221, 213, 2263, 265, 2304, 1303, 7290, 6353, 6421, 8426, 1435, 4467, 2462, 2468, 9483, 1515, 4544, 3525, 8543, 4566, 9584, 3569, 1583, 3594, 8610, 7654, 6753, 722, 8740, 2770, 5797, 9812, 4821, 8806, 5908, 8882, 7924, 958]
0780628551	1	9	33	43	[8862]	[1167, 9255, 3291, 7371, 5421, 4649, 1641, 859, 3974]	[8005, 9067, 8102, 6107, 97, 2152, 6202, 5233, 9310, 3307, 1355, 8386, 4389, 4414, 402, 7405, 6447, 4482, 9562, 9568, 3560, 7577, 1606, 4657, 2671, 4684, 9731, 6841, 6881, 4911, 4930, 1937, 3984]
0767839277	0	1	4	5	[]	[1346]	[2006, 2096, 1389, 6522]
0780618564	0	1	8	9	[]	[609]	[6005, 5190, 7185, 1630, 7641, 5718, 8715, 1919]
0767809270	1	0	6	7	[11]	[]	[6, 8253, 310, 4602, 8632, 1884]
0767823990	1	0	2	3	[5005]	[]	[3456, 1681]
0767824555	1	1	2	4	[9008]	[4404]	[4072, 2686]
0767020308	86	21	18	125	[2007, 1016, 4014, 5026, 4033, 5048, 5077, 9080, 4084, 9097, 5107, 3132, 9147, 142, 6167, 5179, 1175, 8183, 1184, 194, 6235, 8215, 9233, 7227, 5256, 5264, 5266, 1282, 8284, 3290, 5327, 2325, 5335, 324, 348, 4360, 1360, 9393, 5433, 2446, 3445, 1465, 1472, 6505, 486, 9522, 9523, 8515, 8520, 3507, 3519, 3544, 4584, 2583, 6608, 2595, 3584, 3588, 5636, 6661, 3635, 6676, 1659, 2683, 8672, 682, 7676, 6748, 3716, 6778, 7753, 8775, 1773, 8776, 4823, 7772, 4851, 6871, 3851, 6940, 8884, 3926, 6994, 9975, 8971, 1985]	[2014, 5102, 4128, 9163, 3199, 7206, 6365, 9396, 380, 2490, 2504, 6587, 8563, 9644, 3651, 6767, 6857, 6915, 9930, 3916, 7884]	[3009, 6033, 6119, 111, 157, 7164, 8379, 3374, 8469, 7480, 2558, 3601, 9764, 1761, 3810, 1855, 7903, 3992]
0767819640	0	2	0	2	[]	[3008, 7628]	[]
0764003828	44	11	6	61	[6006, 8018, 6019, 20, 1030, 5049, 3099, 2105, 8106, 5114, 3139, 1183, 6204, 1199, 4232, 9295, 2300, 5310, 8350, 4375, 5385, 2379, 6403, 7397, 8435, 3433, 7488, 1541, 2584, 7576, 9625, 4643, 1636, 4709, 1683, 7666, 4760, 6795, 798, 3819, 5898, 3867, 5988, 9996]	[4273, 4411, 459, 5581, 1563, 7569, 7598, 9797, 6983, 9969, 7969]	[2087, 6277, 9405, 7623, 7728, 8786]
0780605799	1	1	7	9	[5359]	[3068]	[8006, 3162, 4363, 8418, 5574, 7778, 8940]
0773343032	0	1	10	11	[]	[4006]	[129, 6185, 9388, 1456, 1477, 1532, 8578, 9850, 1845, 9978]
0783222734	2	0	14	16	[1007, 8905]	[]	[7112, 5139, 3143, 2328, 7317, 8481, 3595, 3602, 8681, 1760, 9881, 9925, 1905, 5979]
076400235X	20	2	1	23	[9009, 1028, 8137, 4194, 7241, 5278, 9286, 370, 8412, 2434, 2479, 530, 5590, 2612, 2640, 648, 2679, 8728, 5909, 5943]	[1314, 9567]	[6090]
0764000969	4	1	1	6	[7007, 5872, 4900, 8964]	[5281]	[8207]
0767824571	4	4	13	21	[3079, 2378, 1385, 1680]	[2575, 8624, 6664, 1669]	[8007, 3035, 4135, 1294, 4390, 1392, 3384, 8508, 6560, 6580, 1637, 4687, 6902]
0767025784	3	0	3	6	[6048, 3292, 3731]	[]	[9010, 5332, 646]
0764002465	28	5	5	38	[7008, 6012, 87, 7098, 5161, 4260, 9268, 9334, 7325, 383, 7408, 5493, 5506, 7562, 9638, 7618, 6697, 5699, 4699, 1756, 754, 3817, 3818, 4857, 824, 2873, 4944, 3956]	[4040, 287, 7293, 9342, 5562]	[6040, 3124, 5241, 1312, 4650]
061529118X	4	0	1	5	[6007, 6018, 5034, 9810]	[]	[7871]
0780619609	0	2	6	8	[]	[1342, 4667]	[4008, 8123, 3131, 6241, 4406, 1614]
0767818024	0	0	4	4	[]	[]	[8008, 6147, 817, 8930]
0767851668	3	5	34	42	[8, 9176, 5362]	[7170, 3248, 6355, 4355, 7653]	[6020, 2044, 3052, 8097, 7114, 4149, 6176, 1196, 8235, 281, 8303, 5344, 4356, 7416, 6516, 518, 4547, 554, 613, 7614, 663, 5729, 717, 1748, 799, 2853, 855, 895, 7889, 3924, 2947, 8959, 2989, 7950]
0767817753	0	0	11	11	[]	[]	[6008, 5075, 8287, 9588, 9666, 660, 7697, 7730, 7811, 1904, 7912]
0780623134	3	0	10	13	[1010, 1457, 553]	[]	[7101, 4240, 3324, 9394, 6436, 7450, 5579, 771, 7861, 7994]
0767023765	44	10	5	59	[2010, 5039, 7045, 1049, 8067, 8109, 3117, 6164, 6170, 6177, 4174, 9195, 7188, 9252, 2327, 1334, 331, 7346, 2403, 3397, 2425, 4476, 2491, 1531, 2600, 7585, 6649, 3627, 629, 4682, 6714, 5737, 6766, 5843, 4877, 8850, 865, 8888, 7869, 4950, 6992, 2974, 2982, 8972]	[2064, 182, 8251, 394, 1519, 608, 1749, 4839, 2825, 2921]	[6211, 3257, 605, 8873, 2914]
0764005685	47	21	14	82	[3011, 3071, 6104, 7113, 3120, 3158, 5199, 7186, 192, 8221, 4226, 9256, 7244, 7257, 6302, 5364, 6396, 2383, 4388, 9404, 4424, 7456, 3528, 3538, 546, 6607, 577, 8596, 9634, 8630, 1688, 3751, 6842, 9835, 2821, 7807, 8842, 6927, 6938, 7872, 2937, 3938, 9974, 4996, 7943, 964, 992]	[2020, 1052, 1076, 1079, 173, 2190, 8210, 206, 8321, 3313, 6372, 5381, 5391, 4518, 2556, 1572, 7601, 9725, 5757, 6882, 3848]	[6039, 3155, 205, 2338, 7419, 7429, 6507, 3502, 8523, 5567, 1556, 573, 9607, 7831]
0780626966	1	2	6	9	[2358]	[1162, 9757]	[8009, 5037, 9519, 2838, 6886, 5933]
0767821556	1	3	3	7	[4465]	[8664, 7721, 783]	[9, 1336, 757]
0780618556	1	1	19	21	[3012]	[7627]	[9087, 149, 2229, 8245, 2270, 6350, 2370, 6409, 374, 5464, 6476, 6490, 4550, 544, 4582, 4631, 3639, 5964, 2985]
0767833902	3	5	53	61	[357, 5477, 2970]	[6084, 4331, 7386, 9533, 7545]	[4009, 1032, 1063, 5105, 2118, 6148, 6168, 5174, 8174, 5181, 9211, 249, 3267, 3301, 302, 1322, 2332, 2380, 1382, 376, 8414, 6428, 415, 9441, 1458, 5541, 2538, 9554, 5568, 7537, 9590, 6691, 8654, 6704, 2687, 4702, 9709, 4717, 5733, 692, 3736, 7782, 8815, 8844, 4886, 9889, 4909, 3888, 883, 6971, 3951, 9986, 7978]
0767836316	0	4	9	13	[]	[1011, 1609, 655, 1963]	[9111, 175, 4275, 8511, 3499, 1702, 2760, 5833, 1962]
0783222823	0	1	3	4	[]	[2622]	[6009, 1186, 4252]
0780620003	5	3	26	34	[5015, 8185, 478, 7473, 734]	[8132, 5268, 9851]	[7009, 7056, 4125, 8128, 3235, 3297, 4313, 6375, 4434, 471, 476, 4524, 4556, 8573, 7554, 1598, 5743, 9762, 1751, 1766, 7786, 4970, 9972, 1967, 1993, 7984]
0780656172	3	4	27	34	[8010, 3654, 6997]	[1023, 9092, 590, 4645]	[5043, 9110, 7117, 8144, 8178, 231, 1293, 7345, 2419, 489, 9545, 8547, 1540, 555, 3618, 7632, 8659, 1692, 2725, 9745, 2730, 7737, 3766, 1796, 814, 838, 903]
0767800958	13	1	1	15	[8011, 6058, 85, 2125, 5155, 3159, 4292, 4572, 2607, 2772, 5852, 7801, 1936]	[9734]	[2965]
0780620321	0	1	6	7	[]	[2608]	[4010, 6283, 7327, 6679, 7830, 4986]
0307142485	49	3	2	54	[1012, 4037, 8052, 4056, 6117, 5121, 3130, 6169, 3154, 6199, 7169, 2226, 2231, 2287, 1305, 7302, 9326, 6416, 7391, 9434, 7462, 9527, 3564, 8601, 7578, 6641, 1610, 7630, 1647, 7638, 5719, 2739, 8727, 6777, 8730, 4768, 6797, 768, 6830, 5818, 1820, 4884, 4935, 7926, 3967, 7935, 2987, 3987, 8992]	[4265, 1380, 5638]	[3347, 3970]
0738920762	24	1	6	31	[2012, 6016, 7028, 8045, 4078, 6096, 6160, 4181, 188, 9287, 4340, 9366, 5427, 3443, 4539, 9560, 3542, 8565, 1607, 7608, 3633, 674, 1942, 3949]	[5124]	[7055, 6282, 8318, 8335, 6847, 8841]
0780020685	4	4	11	19	[5092, 9538, 9892, 6950]	[5009, 7476, 9904, 3934]	[4047, 2174, 7251, 8305, 4305, 308, 4369, 3379, 8581, 3707, 931]
0780626699	0	1	5	6	[]	[3087]	[6011, 8194, 4417, 2438, 8951]
0780621964	3	10	53	66	[3137, 5221, 5612]	[3104, 4202, 200, 7323, 4450, 3454, 2613, 4789, 3904, 7915]	[1013, 7027, 65, 4073, 2090, 2130, 9132, 1156, 6193, 5201, 9220, 2255, 3247, 250, 2299, 2316, 1326, 9343, 2364, 1364, 9377, 7396, 5425, 9453, 5453, 3444, 6486, 464, 6499, 474, 5523, 5549, 5555, 3543, 4571, 1578, 4620, 7587, 9665, 5710, 4728, 6741, 3709, 8749, 5810, 4818, 4829, 3823, 4855, 4859, 1849, 8914, 993]
0780630874	3	4	12	19	[9018, 1066, 8616]	[7579, 9857, 5991, 1982]	[4011, 9123, 1147, 1213, 4264, 3300, 3355, 5534, 9555, 6640, 8739, 9987]
076701409X	2	4	0	6	[7011, 9066]	[4061, 6122, 1233, 9495]	[]
0767849493	3	6	47	56	[7670, 3841, 6890]	[9031, 9136, 267, 3532, 5621, 631]	[2013, 14, 9034, 9044, 1047, 58, 9173, 5205, 1204, 4211, 210, 6248, 5244, 1244, 2271, 9280, 5293, 5345, 2355, 3346, 1368, 8382, 468, 7468, 5510, 5521, 6547, 3537, 4590, 8586, 2614, 8619, 7639, 6733, 9774, 1740, 7762, 7803, 5936, 6972, 9967, 5972, 6999, 2960, 1952, 5996, 7988]
0767812778	0	1	1	2	[]	[12]	[8562]
0767823796	0	2	8	10	[]	[9632, 3738]	[3015, 7060, 5438, 4581, 9703, 7722, 4790, 5878]
0767018877	2	1	2	5	[9440, 9785]	[4903]	[5011, 7238]
0767836359	3	1	8	12	[5488, 5644, 2962]	[9858]	[1014, 8153, 9238, 3288, 352, 1639, 1777, 8915]
0780625218	1	1	3	5	[4621]	[1767]	[8013, 2648, 1898]
0780630890	8	9	20	37	[4442, 2481, 3514, 5624, 2659, 767, 6919, 3883]	[4012, 3043, 1330, 3607, 5694, 9742, 5766, 4810, 770]	[5126, 3160, 3172, 195, 2218, 3210, 260, 6391, 4409, 6473, 455, 3503, 511, 1698, 4732, 4748, 4798, 9890, 921, 2964]
0767802519	1	3	9	13	[5012]	[248, 2524, 5904]	[8094, 2129, 2343, 2407, 2681, 7659, 9792, 765, 5861]
0780630904	1	3	13	17	[7538]	[7214, 5272, 3261]	[9014, 9015, 9078, 8274, 289, 3399, 4449, 9658, 1661, 5815, 810, 7923, 2998]
0767014812	29	6	1	36	[6068, 91, 8126, 6137, 150, 8175, 5224, 208, 1425, 8440, 5448, 5482, 7454, 4501, 507, 1522, 6588, 4574, 6729, 8691, 6793, 4813, 8818, 3845, 4876, 3870, 6920, 8874, 1917]	[4013, 7020, 2055, 1309, 5384, 2620]	[5115]
0310274281	99	5	3	107	[7012, 8017, 9026, 2054, 8074, 4075, 6079, 3077, 2080, 8092, 98, 7100, 5110, 4106, 1120, 5127, 123, 2166, 4161, 9177, 8201, 9216, 2265, 2268, 8278, 7266, 8296, 7280, 6324, 5320, 6344, 2330, 3323, 1337, 8345, 339, 6371, 3353, 8380, 8395, 1427, 1429, 3442, 6485, 9475, 1464, 7448, 3463, 467, 6501, 6526, 7481, 7483, 4521, 3510, 4541, 5565, 9564, 4589, 4592, 2586, 6614, 1624, 9664, 1640, 1656, 8663, 8668, 9702, 3690, 1695, 1707, 6758, 5758, 2743, 1736, 8745, 9787, 7760, 7766, 3806, 9845, 8819, 3833, 1832, 9871, 4887, 6903, 9921, 8894, 5940, 2931, 9960, 5969, 4971, 9973, 3971, 8975, 999]	[8105, 8111, 9140, 143, 9169]	[4347, 9733, 3869]
0767821785	1	0	3	4	[8255]	[]	[6013, 2574, 5916]
0767005880	11	1	1	13	[8014, 7159, 5340, 1383, 4422, 418, 9544, 1562, 1653, 3954, 7999]	[7918]	[6213]
0764000829	9	6	11	26	[4249, 7248, 6326, 4564, 748, 3790, 6877, 2861, 3865]	[5406, 5454, 9558, 5657, 7662, 4830]	[2015, 5134, 1483, 6698, 3706, 700, 1752, 837, 2917, 3965, 2981]
0764006770	54	20	19	93	[1017, 3032, 2053, 3060, 8064, 4088, 2122, 4150, 4157, 5176, 2175, 4170, 9179, 7167, 7187, 7229, 9251, 7239, 8262, 5283, 268, 274, 8293, 5317, 4333, 4498, 4506, 541, 3567, 8584, 3576, 3578, 4613, 3596, 6636, 6638, 3611, 6674, 6678, 8658, 4718, 6746, 2722, 4745, 3727, 3788, 8821, 7808, 7819, 4922, 7859, 887, 7942, 3999]	[9051, 3080, 6103, 1235, 2340, 9425, 9492, 5585, 8636, 3665, 8670, 9737, 5793, 6813, 5804, 5805, 9817, 2832, 830, 8886]	[2057, 8080, 3105, 5128, 5292, 9316, 328, 2362, 1362, 9408, 8422, 1453, 3587, 5634, 1682, 3813, 2864, 1857, 1868]
0740328271	22	3	1	26	[4015, 4045, 4139, 2146, 1149, 1241, 5255, 4303, 9315, 9318, 3325, 4536, 1525, 7574, 5661, 4659, 3644, 3740, 6790, 9843, 9863, 821]	[3312, 4782, 980]	[591]
0782008348	2	1	10	13	[2236, 1663]	[836]	[9016, 7024, 3220, 5360, 2638, 4743, 2805, 843, 4893, 4947]
0783219857	2	3	22	27	[7414, 1484]	[6563, 688, 786]	[5014, 7091, 5109, 1197, 201, 222, 7228, 7288, 6354, 1353, 7364, 1403, 1405, 3415, 5484, 534, 5759, 9776, 2800, 894, 3958, 7998]
0767802624	6	2	4	12	[15, 9217, 4338, 5598, 5742, 920]	[1418, 4791]	[4030, 8551, 5727, 3998]
076780161X	73	19	9	101	[2016, 6023, 4041, 103, 9109, 1116, 7140, 1206, 244, 7286, 6330, 301, 6347, 1331, 2360, 3357, 8370, 6399, 4381, 7367, 4393, 5398, 7374, 5400, 7403, 6463, 436, 6551, 4549, 9563, 547, 9578, 1565, 9597, 6621, 4615, 7583, 2628, 3623, 628, 2653, 6684, 9689, 5697, 8677, 696, 9763, 4774, 5779, 9798, 5811, 6839, 3801, 3802, 1799, 8805, 797, 9854, 5859, 1837, 5889, 3881, 5917, 6931, 2894, 2901, 1899, 9958, 7901, 939, 7928, 961, 8980]	[4167, 5187, 1274, 5289, 1306, 5328, 9455, 1536, 2573, 9589, 9614, 7655, 1691, 7693, 4844, 5879, 4919, 5939, 7894]	[5081, 8090, 86, 1178, 7381, 2418, 6764, 3785, 2911]
0767812158	0	0	1	1	[]	[]	[7014]
0780621654	1	1	4	6	[6924]	[4016]	[9142, 3354, 3521, 3619]
0783117388	0	1	15	16	[]	[7422]	[1018, 1356, 368, 2470, 7558, 9704, 2726, 5771, 6849, 2819, 3853, 1865, 7863, 3897, 3948]
0767819403	1	1	1	3	[3376]	[651]	[9017]
0764006797	10	2	2	14	[3018, 7085, 6121, 6165, 8177, 579, 1644, 5762, 3900, 2938]	[3436, 8759]	[6114, 1325]
076785117X	2	1	18	21	[4017, 5250]	[8572]	[5062, 2182, 4188, 6226, 5314, 7312, 7347, 2412, 2665, 2674, 2695, 678, 9874, 5893, 2933, 8936, 965, 3991]
0738920525	29	4	3	36	[1020, 5045, 3054, 6085, 9090, 6099, 162, 3184, 7191, 3317, 8401, 1397, 4416, 5451, 4468, 3568, 7596, 4646, 8646, 673, 2731, 9782, 738, 1776, 5837, 8814, 3895, 2932, 954]	[3174, 8356, 3908, 2926]	[3457, 8634, 1813]
0780625528	1	1	3	5	[9814]	[1341]	[6017, 9178, 1876]
0767800761	45	6	5	56	[2018, 6044, 9049, 4053, 4054, 9076, 5140, 8143, 8189, 6230, 1223, 7220, 1253, 4276, 1280, 2284, 6305, 3305, 6360, 7333, 2392, 1399, 7406, 4471, 6488, 461, 1502, 4535, 7508, 4548, 6596, 4596, 2597, 7573, 5633, 4670, 664, 685, 827, 2904, 4938, 4962, 9966, 7902, 2988]	[7232, 8264, 369, 2400, 1613, 3807]	[6140, 220, 9344, 5402, 3714]
0767802497	20	13	24	57	[3023, 2025, 7035, 4058, 1103, 2164, 8179, 5195, 4316, 6482, 9476, 9485, 8486, 5558, 3608, 3676, 8719, 9870, 2871, 3946]	[4158, 4165, 9327, 6356, 2541, 563, 5680, 4704, 1731, 842, 1872, 5953, 5983]	[7016, 5027, 4065, 6074, 152, 5242, 9307, 8347, 356, 9390, 8464, 5494, 5498, 4554, 8603, 5626, 4712, 6765, 8754, 5816, 9823, 1835, 9901, 2907]
0780021088	1	1	6	8	[7099]	[4500]	[8019, 8141, 6153, 3260, 5459, 571]
0764001035	54	16	11	81	[1022, 26, 2103, 7121, 2133, 9141, 5153, 6182, 6208, 2221, 2239, 4243, 1277, 5288, 2308, 7289, 8316, 2323, 6413, 4435, 8449, 463, 473, 7463, 475, 503, 6554, 524, 6562, 8542, 5564, 6575, 9622, 1673, 9712, 8682, 7680, 695, 4752, 718, 8778, 2813, 2816, 1805, 6879, 1826, 3875, 5913, 4957, 1924, 5963, 1973, 8983, 1992]	[6032, 4082, 9102, 1136, 7147, 1166, 9207, 8352, 6370, 1430, 6450, 9480, 519, 7572, 6810, 2909]	[5073, 6092, 9221, 1243, 9262, 9415, 1488, 8768, 788, 5992, 953]
0780616561	0	2	14	16	[]	[207, 4953]	[5017, 6057, 1095, 3251, 3268, 1315, 2440, 2466, 3530, 2618, 9740, 4975, 7977, 7985]
0767827929	3	2	6	11	[4019, 7116, 1720]	[8294, 5783]	[8120, 3471, 7560, 8598, 1858, 8898]
076400638X	11	1	1	13	[7018, 1038, 9143, 9443, 3566, 4676, 668, 9808, 2829, 1956, 2976]	[104]	[3762]
0767802659	5	7	31	43	[4050, 8160, 4514, 8554, 5584]	[3022, 1359, 5458, 6660, 1645, 9938, 971]	[2026, 1037, 2058, 8093, 3092, 7109, 5129, 2134, 5197, 1208, 6303, 4285, 315, 7340, 351, 371, 2458, 7445, 3461, 3495, 1523, 3546, 9583, 7625, 7658, 2717, 7691, 739, 2795, 4895, 6998]
0783219695	3	2	9	14	[8020, 2147, 9236]	[6273, 6926]	[76, 1350, 1558, 1616, 5749, 1737, 4874, 1960, 1972]
0780619552	1	3	10	14	[2450]	[2201, 2288, 8961]	[18, 8023, 3073, 2246, 4494, 1486, 2585, 6784, 6817, 916]
0783103107	1	3	6	10	[5829]	[2346, 9503, 6521]	[9020, 29, 4510, 8736, 6859, 6955]
0780630858	8	7	33	48	[2042, 5130, 3255, 5315, 4358, 4430, 7418, 9685]	[5018, 2100, 1227, 2354, 3562, 2602, 857]	[4026, 69, 6087, 4103, 4107, 4126, 127, 2143, 5229, 7216, 9297, 349, 6381, 7353, 5449, 9451, 431, 4472, 7460, 8517, 8599, 5630, 7581, 9643, 7606, 657, 7689, 4809, 2812, 4894, 1935, 3961, 8958]
0780023080	2	1	4	7	[2184, 893]	[3191]	[4020, 1025, 273, 2352]
0767003357	64	10	19	93	[4068, 68, 1080, 4097, 3101, 2168, 8167, 4184, 3183, 4195, 6224, 4215, 7203, 3228, 2241, 7223, 3236, 4256, 251, 3253, 5271, 2273, 8285, 6306, 6312, 3358, 7393, 8419, 7407, 3435, 3453, 3482, 1494, 1510, 3513, 5559, 3536, 6593, 4580, 1579, 9626, 8620, 9657, 8635, 2663, 9681, 9688, 2678, 4737, 9760, 4784, 6811, 1770, 6853, 4889, 6939, 909, 8931, 1951, 9998, 2980, 1971, 3986, 990]	[9083, 9113, 1229, 6380, 8444, 7472, 8501, 3874, 2990, 3983]	[19, 9030, 1031, 6043, 3056, 3057, 5158, 8225, 9381, 9452, 7458, 1674, 5740, 7701, 5770, 3781, 1810, 7814, 8858]
0736915842	4	2	0	6	[9021, 6629, 9749, 6921]	[8341, 3941]	[]
0738921351	5	1	1	7	[8186, 6471, 8781, 9847, 3922]	[3024]	[5637]
0767827007	1	3	6	10	[8642]	[353, 5465, 8800]	[8022, 5030, 9406, 8452, 3462, 2676]
0767810864	1	1	3	5	[9022]	[8170]	[8231, 430, 3630]
0767010485	31	7	5	43	[5019, 1074, 75, 3107, 3144, 1177, 4175, 7221, 6265, 3266, 1300, 8315, 6400, 2391, 6419, 6438, 6451, 1470, 3466, 6527, 2639, 9700, 6752, 6785, 8771, 9832, 8834, 6905, 5938, 5956, 4999]	[3048, 7084, 9152, 5262, 7343, 9777, 5871]	[5257, 6317, 1411, 3550, 9903]
0767810880	2	3	5	10	[3026, 4891]	[7088, 3223, 4257]	[3067, 9131, 479, 683, 3756]
0780021096	0	0	5	5	[]	[]	[4021, 8228, 7452, 2774, 1861]
0767821408	0	0	8	8	[]	[]	[6022, 9037, 7118, 8302, 9471, 5577, 2806, 9876]
0764005537	18	6	3	27	[4022, 298, 9321, 4383, 2442, 8445, 3470, 4587, 6619, 2616, 4690, 7707, 4872, 7817, 4933, 907, 8969, 3985]	[9294, 3586, 4625, 4648, 6675, 2992]	[9303, 3682, 4833]
0767817680	3	2	11	16	[8149, 5445, 823]	[4048, 6851]	[7021, 5106, 6209, 4341, 2553, 9570, 6633, 9771, 6801, 752, 4940]
0767817478	5	9	50	64	[5020, 3204, 5423, 3599, 9676]	[4085, 4253, 8361, 8389, 393, 9496, 833, 1925, 963]	[5035, 6071, 4079, 3083, 9093, 4124, 128, 5167, 4186, 1202, 7207, 6251, 2286, 5306, 291, 2309, 4309, 8337, 9353, 341, 8368, 4372, 1372, 1379, 5418, 1410, 2431, 4437, 5497, 7477, 8524, 5556, 549, 6600, 8579, 2588, 3591, 4696, 7661, 2715, 3741, 5778, 769, 6843, 785, 3814, 2842, 2862, 1850, 8998]
0767000099	3	1	1	5	[3027, 8902, 994]	[7686]	[639]
0783219458	0	1	6	7	[]	[5705]	[7022, 7153, 1284, 6648, 666, 9848]
0307142477	2	0	4	6	[8025, 5091]	[]	[4052, 8372, 6433, 1802]
0780627784	1	3	5	9	[2666]	[5151, 4840, 2880]	[9025, 2120, 2213, 4343, 6401]
0767821955	1	2	9	12	[61]	[4871, 1852]	[1027, 7057, 7146, 1446, 2486, 9493, 531, 2849, 4915]
0783225261	0	1	4	5	[]	[781]	[4023, 5104, 9422, 5717]
0767836286	1	2	17	20	[3832]	[2443, 9855]	[3029, 5097, 7126, 4394, 4436, 1521, 9627, 5647, 4652, 5695, 8683, 6757, 9750, 727, 856, 9915, 7855]
0767805712	2	4	4	10	[8027, 7945]	[3112, 2748, 1757, 4815]	[2081, 5308, 1530, 5707]
0767804252	1	1	9	11	[3555]	[991]	[3030, 2165, 7255, 8290, 4487, 8498, 5529, 3548, 8784]
0767807588	0	0	7	7	[]	[]	[5023, 8087, 8196, 7202, 5426, 2924, 8934]
078322530X	0	2	6	8	[]	[4863, 4990]	[6026, 2078, 3276, 8897, 4948, 8987]
0767818075	0	1	3	4	[]	[6925]	[8028, 5044, 1420]
0307141985	4	1	0	5	[23, 9116, 7512, 2546]	[7263]	[]
0782005926	0	0	1	1	[]	[]	[9028]
0005119367	85	5	2	92	[24, 3034, 7032, 2033, 9045, 4044, 5052, 4049, 8054, 2095, 4108, 2126, 2131, 4130, 6166, 153, 8166, 4183, 7174, 8193, 5214, 5217, 4236, 3229, 8244, 238, 3240, 5267, 6290, 4274, 8280, 9282, 3282, 3283, 8308, 5334, 2336, 4351, 4378, 1393, 8403, 3387, 1402, 9427, 2444, 2449, 4540, 8538, 6569, 8552, 1551, 6605, 5606, 2605, 6631, 5628, 6655, 9645, 6743, 2720, 1718, 4757, 7703, 9770, 4786, 1747, 2775, 1758, 2793, 7759, 2835, 1841, 8863, 8875, 7856, 6949, 2925, 7886, 6980, 945, 7936, 7949, 3990, 8989, 996]	[6239, 6279, 494, 5730, 4793]	[6555, 7789]
0780651359	3	2	5	10	[9029, 539, 7906]	[1417, 6768]	[4083, 4089, 3127, 4180, 8249]
0780619250	1	3	24	28	[677]	[8150, 180, 1423]	[6028, 32, 2216, 7269, 7301, 8323, 7335, 3381, 8525, 2559, 4576, 7561, 1676, 2785, 5824, 4822, 1798, 5905, 7875, 6969, 9977, 9992, 1961, 7968]
0767814908	1	2	8	11	[3194]	[3705, 9859]	[6029, 7076, 1152, 1214, 7684, 4764, 8798, 2854]
0780022343	0	0	1	1	[]	[]	[2028]
0767816617	0	2	3	5	[]	[8133, 9668]	[6030, 5434, 3988]
0767802802	0	2	5	7	[]	[2399, 2784]	[1033, 1108, 6479, 465, 7615]
0783219806	1	1	4	6	[6908]	[1172]	[8032, 3207, 6708, 3834]
0767814932	0	0	4	4	[]	[]	[2030, 5747, 4885, 5989]
